confidence	arg1	rel	arg2	enabler	attribution	text	pattern	dependencies
1.0	the Brumbies	finished	six points clear of the next best team			In 2004 the Brumbies finished at the top of the Super 12 table , six points clear of the next best team .		
1.0	they	finishing	in 5th place and qualifying for the play-offs			In 2006 they applied for National League Three , finishing in 5th place and qualifying for the play-offs , where they lost to St Albans Centurions .		
1.0	they	applied	In 2006 they applied for National League Three			In 2006 they applied for National League Three , finishing in 5th place and qualifying for the play-offs , where they lost to St Albans Centurions .		
1.0	they	lost	the play-offs , where they lost to St Albans Centurions			In 2006 they applied for National League Three , finishing in 5th place and qualifying for the play-offs , where they lost to St Albans Centurions .		
1.0	Sun	announced	Project Indiana			In 2007 , Sun announced `` Project Indiana '' with several goals , including providing an open source binary distribution of the OpenSolaris project , replacing SXDE .		
1.0	Sun	announced	Project Indiana			In 2007 , Sun announced `` Project Indiana '' with several goals , including providing an open source binary distribution of the OpenSolaris project , replacing SXDE .		
1.0	Sun	announced	In 2007 , Sun announced `` Project Indiana '' with several goals , including providing an open source binary distribution of the OpenSolaris project			In 2007 , Sun announced `` Project Indiana '' with several goals , including providing an open source binary distribution of the OpenSolaris project , replacing SXDE .		
1.0	Sun	announced `` Project Indiana '' with several goals , including providing an open source binary distribution of the OpenSolaris project , replacing	Indiana '' with several goals , including providing an open source binary distribution of the OpenSolaris project , replacing SXDE			In 2007 , Sun announced `` Project Indiana '' with several goals , including providing an open source binary distribution of the OpenSolaris project , replacing SXDE .		
1.0	scam websites	co-opted	a photograph of her			In 2010 , scam websites co-opted a photograph of her to promote health treatments , the ubiquitous `` 1 weird old tip '' belly fat diets , and penny auctions , unauthorized usage of which Theuriau was initially unaware .		
1.0	scam websites	co-opted	In 2010 , scam websites co-opted a photograph of her to promote health treatments			In 2010 , scam websites co-opted a photograph of her to promote health treatments , the ubiquitous `` 1 weird old tip '' belly fat diets , and penny auctions , unauthorized usage of which Theuriau was initially unaware .		
1.0	vendors	launched	several consumer-oriented motherboards using the Intel 6-series LGA 1155 chipset and AMD 9 Series AM3 + chipsets			In 2011 , major vendors launched several consumer-oriented motherboards using the Intel 6-series LGA 1155 chipset and AMD 9 Series AM3 + chipsets with UEFI .		
1.0	major vendors	launched	In 2011 , major vendors launched several consumer-oriented motherboards			In 2011 , major vendors launched several consumer-oriented motherboards using the Intel 6-series LGA 1155 chipset and AMD 9 Series AM3 + chipsets with UEFI .		
1.0	several consumer-oriented motherboards	using	the Intel 6-series LGA 1155 chipset and AMD 9 Series AM3 + chipsets with UEFI			In 2011 , major vendors launched several consumer-oriented motherboards using the Intel 6-series LGA 1155 chipset and AMD 9 Series AM3 + chipsets with UEFI .		
1.0	Bloomberg Businessweek	voted	In 2012 , Bloomberg Businessweek voted San Francisco as America 's Best City			In 2012 , Bloomberg Businessweek voted San Francisco as America 's Best City .		
1.0	Marcus Perperna	is mentioned	In 54 BC , Marcus Perperna is mentioned as one of the consulars			In 54 BC , Marcus Perperna is mentioned as one of the consulars who bore testimony on behalf of Marcus Aemilius Scaurus at his trial .		
1.0	the consulars	bore	testimony on behalf of Marcus Aemilius Scaurus at his trial			In 54 BC , Marcus Perperna is mentioned as one of the consulars who bore testimony on behalf of Marcus Aemilius Scaurus at his trial .		
1.0	there	are	In Canada , there are two organizations			In Canada , there are two organizations that regulate university and collegiate athletics .		
1.0	two organizations	regulate	university and collegiate athletics			In Canada , there are two organizations that regulate university and collegiate athletics .		
1.0	droit	can mean	In French , `` droit '' can mean `` the whole body of the Law			In French , `` droit '' can mean `` the whole body of the Law '' , as in the motto `` dieu et mon droit , '' which is to say `` God and my whole body of Law . ''		
1.0	the motto `` dieu et mon droit	is	to say `` God and my whole body of Law			In French , `` droit '' can mean `` the whole body of the Law '' , as in the motto `` dieu et mon droit , '' which is to say `` God and my whole body of Law . ''		
1.0	the Samaritans	are called	In Jewish Hebrew , the Samaritans are called `` Shomronim			In Jewish Hebrew , the Samaritans are called `` Shomronim '' , while in Samaritan Hebrew they call themselves `` Shamerim '' .		
1.0	they	are called `` Shomronim '' , while in Samaritan Hebrew they call	in Samaritan Hebrew they call themselves `` Shamerim			In Jewish Hebrew , the Samaritans are called `` Shomronim '' , while in Samaritan Hebrew they call themselves `` Shamerim '' .		
1.0	its fulfilment	will be revealed	in the cumulation of Creation , in			In Jewish belief , its fulfilment will be revealed in the cumulation of Creation , in the era of resurrection , in the physical World .		
1.0	its fulfilment	will be revealed	In Jewish belief , its fulfilment will be revealed in the cumulation of Creation , in the era of resurrection , in the physical World			In Jewish belief , its fulfilment will be revealed in the cumulation of Creation , in the era of resurrection , in the physical World .		
1.0	Nasser	took	In June , Nasser took control of the interior ministry post from Naguib loyalist Sulayman Hafez			In June , Nasser took control of the interior ministry post from Naguib loyalist Sulayman Hafez , and pressured Naguib to conclude the abolition of the monarchy .		
1.0	Nasser	pressured	Naguib to conclude the abolition of the monarchy			In June , Nasser took control of the interior ministry post from Naguib loyalist Sulayman Hafez , and pressured Naguib to conclude the abolition of the monarchy .		
1.0	the Byrom Street cutting	was	a hitching and unhitching point for trains			In October 2009 it was confirmed that the Byrom Street cutting was a hitching and unhitching point for trains being cable hauled to Edge Hill via the Victoria Tunnel .		
1.0	it	was confirmed	In October 2009 it was confirmed that the Byrom Street cutting was a hitching and unhitching point			In October 2009 it was confirmed that the Byrom Street cutting was a hitching and unhitching point for trains being cable hauled to Edge Hill via the Victoria Tunnel .		
1.0	trains	being cable hauled	to Edge Hill via the Victoria Tunnel			In October 2009 it was confirmed that the Byrom Street cutting was a hitching and unhitching point for trains being cable hauled to Edge Hill via the Victoria Tunnel .		
1.0	she	working	at the Department of the Chief of Air Staff as Assistant Section Officer for Intelligence duties			In September 1941 , she joined the Women 's Auxiliary Air Force , working at the Department of the Chief of Air Staff as Assistant Section Officer for Intelligence duties , before being posted in July 1942 to Moreton-in-Marsh , where she was promoted to Section officer .		
1.0	she	joined	the Women 's Auxiliary Air Force , working at the Department of the Chief of Air Staff as Assistant Section Officer for Intelligence duties , before being posted in July 1942 to Moreton-in-Marsh			In September 1941 , she joined the Women 's Auxiliary Air Force , working at the Department of the Chief of Air Staff as Assistant Section Officer for Intelligence duties , before being posted in July 1942 to Moreton-in-Marsh , where she was promoted to Section officer .		
1.0	she	joined	the Women 's Auxiliary Air Force			In September 1941 , she joined the Women 's Auxiliary Air Force , working at the Department of the Chief of Air Staff as Assistant Section Officer for Intelligence duties , before being posted in July 1942 to Moreton-in-Marsh , where she was promoted to Section officer .		
1.0	she	joined	In September 1941 , she joined the Women 's Auxiliary Air Force			In September 1941 , she joined the Women 's Auxiliary Air Force , working at the Department of the Chief of Air Staff as Assistant Section Officer for Intelligence duties , before being posted in July 1942 to Moreton-in-Marsh , where she was promoted to Section officer .		
1.0	all cases of meatal stenosis	were	among circumcised boys			In Van Howe 's study , all cases of meatal stenosis were among circumcised boys .		
1.0	all cases of meatal stenosis	were	In Van Howe 's study , all cases of meatal stenosis were among circumcised boys			In Van Howe 's study , all cases of meatal stenosis were among circumcised boys .		
1.0	Michael Crichton 's first novel	published	under his real name , only two people exposed to a pathogenic extraterrestrial microbe			In `` The Andromeda Strain '' , Michael Crichton 's first novel published under his real name , only two people exposed to a pathogenic extraterrestrial microbe survive .		
1.0	only two people exposed to a pathogenic extraterrestrial microbe	survive	In `` The Andromeda Strain			In `` The Andromeda Strain '' , Michael Crichton 's first novel published under his real name , only two people exposed to a pathogenic extraterrestrial microbe survive .		
1.0	he	reserved	the right to bring Carl back any time Krahulik goes to France			In a news post , Holkins stated that he reserved the right to bring Carl back any time Krahulik goes to France .		
1.0	Holkins	stated	In a news post , Holkins stated that he reserved the right to bring Carl back any time			In a news post , Holkins stated that he reserved the right to bring Carl back any time Krahulik goes to France .		
1.0	Krahulik	goes	to France			In a news post , Holkins stated that he reserved the right to bring Carl back any time Krahulik goes to France .		
1.0	a Language A	occupies	In a typical case of substrate interference , a Language A occupies a given territory and another Language B			In a typical case of substrate interference , a Language A occupies a given territory and another Language B arrives in the same territory .		
1.0	another Language B	arrives	in the same territory			In a typical case of substrate interference , a Language A occupies a given territory and another Language B arrives in the same territory .		
1.0	John Cecil Masterman	chairman of	the Twenty Committee			In addition , as John Cecil Masterman , chairman of the Twenty Committee , commented , `` If , for example , St Paul 's Cathedral were hit , it was useless and harmful to report that the bomb had descended upon a cinema in Islington , since the truth would inevitably get through to Germany ... ''		
1.0	Cecil	commented	St Paul 's Cathedral were hit , it was useless and harmful to report that the bomb had descended upon a cinema in Islington			In addition , as John Cecil Masterman , chairman of the Twenty Committee , commented , `` If , for example , St Paul 's Cathedral were hit , it was useless and harmful to report that the bomb had descended upon a cinema in Islington , since the truth would inevitably get through to Germany ... ''		
1.0	the truth	would inevitably get through	to Germany			In addition , as John Cecil Masterman , chairman of the Twenty Committee , commented , `` If , for example , St Paul 's Cathedral were hit , it was useless and harmful to report that the bomb had descended upon a cinema in Islington , since the truth would inevitably get through to Germany ... ''		
1.0	the bomb	had descended	upon a cinema in Islington			In addition , as John Cecil Masterman , chairman of the Twenty Committee , commented , `` If , for example , St Paul 's Cathedral were hit , it was useless and harmful to report that the bomb had descended upon a cinema in Islington , since the truth would inevitably get through to Germany ... ''		
1.0	Boston College	left	the Atlantic Coast Conference			In athletics , Boston College left the Big East Conference and joined the Atlantic Coast Conference on July 1 , 2005 .		
1.0	Boston College	left	In athletics , Boston College left the Big East Conference			In athletics , Boston College left the Big East Conference and joined the Atlantic Coast Conference on July 1 , 2005 .		
1.0	Boston College	joined	the Atlantic Coast Conference on July 1 , 2005			In athletics , Boston College left the Big East Conference and joined the Atlantic Coast Conference on July 1 , 2005 .		
1.0	this specialized function	replaces	In both cases this specialized function replaces the basic rifleman position in the fireteam			In both cases this specialized function replaces the basic rifleman position in the fireteam .		
1.0	Condon	told	after seeing Hauptmann in a lineup at New York Police Department Greenwich Street Station told FBI Special Agent Turrou that Hauptmann was not `` John			In fact , Condon , after seeing Hauptmann in a lineup at New York Police Department Greenwich Street Station told FBI Special Agent Turrou that Hauptmann was not `` John , '' the man to whom Condon claimed he passed the ransom money to in St. Raymond 's Cemetery .		
1.0	Condon	passed	the ransom money to in St. Raymond 's Cemetery			In fact , Condon , after seeing Hauptmann in a lineup at New York Police Department Greenwich Street Station told FBI Special Agent Turrou that Hauptmann was not `` John , '' the man to whom Condon claimed he passed the ransom money to in St. Raymond 's Cemetery .		
1.0	RCPO	concluded	858 cases convictions			In its first six months , RCPO concluded 858 cases convictions in 88 % of cases .		
1.0	RCPO	concluded	In its first six months , RCPO concluded 858 cases convictions in 88 % of cases			In its first six months , RCPO concluded 858 cases convictions in 88 % of cases .		
1.0	it	is often treated	as a subfamily of the Glyphipterigidae family			In modern classifications , it is often treated as a subfamily of the Glyphipterigidae family .		
1.0	it	is often treated	In modern classifications , it is often treated as a subfamily of the Glyphipterigidae family			In modern classifications , it is often treated as a subfamily of the Glyphipterigidae family .		
1.0	this policy	has apparently relaxed somewhat	In more recent years			In more recent years , this policy has apparently relaxed somewhat .		
1.0	order	to support planned	TRAX expansion			In order to support planned TRAX expansion , UTA ordered 77 Siemens S70 light rail vehicles from Siemens AG .		
1.0	UTA	ordered	77 Siemens S70 light rail vehicles from Siemens AG			In order to support planned TRAX expansion , UTA ordered 77 Siemens S70 light rail vehicles from Siemens AG .		
1.0	a considerable number	went	entirely extinct after settlement by Europeans			In particular , Cyprinidae of southwestern North America have been severely affected ; a considerable number went entirely extinct after settlement by Europeans .		
1.0	the Oppositionists under George Leake	were	able to form a minority government			In the 1901 election , after which the Oppositionists under George Leake were able to form a minority government , Frank Wilson , formerly the member for Canning , won the seat .		
1.0	Frank Wilson	won	In the 1901 election , after which the Oppositionists under George Leake were able to form a minority government , Frank Wilson , formerly the member for Canning , won the seat			In the 1901 election , after which the Oppositionists under George Leake were able to form a minority government , Frank Wilson , formerly the member for Canning , won the seat .		
1.0	most of Kabul 's economy	depended	In the 1960s and 70s most of Kabul 's economy depended on tourism			In the 1960s and 70s most of Kabul 's economy depended on tourism .		
1.0	Johns	took	In the 1986 television series `` War and Remembrance '' , Johns took the role of the senior Nazi SS officer			In the 1986 television series `` War and Remembrance '' , Johns took the role of the senior Nazi SS officer Adolf Eichmann .		
1.0	he	advocated	Civil War , he advocated strong prosecution of the Union War effort			In the Civil War , he advocated strong prosecution of the Union War effort , the end of slavery , and civil rights for freed African Americans .		
1.0	he	advocated	In the Civil War , he advocated strong prosecution of the Union War effort , the end of slavery , and civil rights for freed African Americans			In the Civil War , he advocated strong prosecution of the Union War effort , the end of slavery , and civil rights for freed African Americans .		
1.0	the 5th Dragoon Guards	formed	In the Crimean War , the 5th Dragoon Guards formed part of the Heavy Cavalry Brigade			In the Crimean War , the 5th Dragoon Guards formed part of the Heavy Cavalry Brigade and was sent to the Black Sea in 1854 .		
1.0	the 5th Dragoon Guards	was sent	to the Black Sea in 1854			In the Crimean War , the 5th Dragoon Guards formed part of the Heavy Cavalry Brigade and was sent to the Black Sea in 1854 .		
1.0	the Welsh Methodists	established	their own denomination , now the Presbyterian Church of Wales			In the early 19th century the Welsh Methodists broke away from the Anglican church and established their own denomination , now the Presbyterian Church of Wales .		
1.0	the Welsh Methodists	broke	In the early 19th century the Welsh Methodists broke away from the Anglican church			In the early 19th century the Welsh Methodists broke away from the Anglican church and established their own denomination , now the Presbyterian Church of Wales .		
1.0	inhabitants	speak	In the north and east inhabitants speak Bumthangkha			In the north and east inhabitants speak Bumthangkha , and in the extreme southeast Khengkha is spoken .		
1.0	Khengkha	speak Bumthangkha , and in the extreme southeast Khengkha is spoken	in the extreme southeast			In the north and east inhabitants speak Bumthangkha , and in the extreme southeast Khengkha is spoken .		
1.0	Knievel	was scheduled	In the winter of 1976 , Knievel was scheduled for a major jump in Chicago			In the winter of 1976 , Knievel was scheduled for a major jump in Chicago , Illinois .		
1.0	God	desired	a dwelling place in the lower realms			In this explanation the purpose of Creation is that `` God desired a dwelling place in the lower realms '' - it is man who transforms the mundane , lowest World into an abode for God 's essence .		
1.0	the purpose of Creation	is	In this explanation the purpose of Creation is that `` God desired a dwelling place in the lower realms '' - it is man			In this explanation the purpose of Creation is that `` God desired a dwelling place in the lower realms '' - it is man who transforms the mundane , lowest World into an abode for God 's essence .		
1.0	man	transforms	the mundane , lowest World into an abode for God 's essence			In this explanation the purpose of Creation is that `` God desired a dwelling place in the lower realms '' - it is man who transforms the mundane , lowest World into an abode for God 's essence .		
1.0	he	began	to collaborate with some newspapers			In those years , he began to collaborate with some newspapers .		
1.0	he	began	In those years , he began to collaborate with some newspapers			In those years , he began to collaborate with some newspapers .		
1.0	the squadron	transitioned	Initially flying the A-4B Skyhawk , the squadron later transitioned to the A-4L Skyhawk			Initially flying the A-4B Skyhawk , the squadron later transitioned to the A-4L Skyhawk .		
1.0	his chances of surviving	were thought	no			Initially his chances of surviving were thought to be no better than 50-50 .		
1.0	his chances of surviving	to	Initially			Initially his chances of surviving were thought to be no better than 50-50 .		
1.0	his chances of surviving	were thought	to be no better than 50-50			Initially his chances of surviving were thought to be no better than 50-50 .		
1.0	It	has	long hind legs and a long , slender , scaly tail that it uses to communicate by making drumming noises			It has long hind legs and a long , slender , scaly tail that it uses to communicate by making drumming noises .		
1.0	the dialect	spoken	in Xiamen			It is essentially the same as the dialect spoken in Xiamen , and is unintelligible with Standard Chinese .		
1.0	It	is	essentially the same as the dialect			It is essentially the same as the dialect spoken in Xiamen , and is unintelligible with Standard Chinese .		
1.0	It	is essentially the same as the dialect spoken in Xiamen , and is	unintelligible with Standard Chinese			It is essentially the same as the dialect spoken in Xiamen , and is unintelligible with Standard Chinese .		
1.0	It	is not	really passable			It is not really passable , and must be done on foot if attempted .		
1.0	It	must be done	on foot if			It is not really passable , and must be done on foot if attempted .		
1.0	It	is	part of the Surrey Hills Area of Outstanding Beauty			It is part of the Surrey Hills Area of Outstanding Beauty and situated on the Green Sand Way .		
1.0	It is part of the Surrey Hills Area of Outstanding Beauty	situated	on the Green Sand Way			It is part of the Surrey Hills Area of Outstanding Beauty and situated on the Green Sand Way .		
1.0	It	should be noted	that these numbers are inclusive of any of the childminders			It should be noted that these numbers are inclusive of any of the childminders own children .		
1.0	the childminders	own	children			It should be noted that these numbers are inclusive of any of the childminders own children .		
1.0	it	was	a triangulation station at the junction of the trancontinental triangulation arc of 1899 on the 39th parallel north and the triangulation arc along the 98th meridian west			It was chosen in 1901 because it was a triangulation station at the junction of the trancontinental triangulation arc of 1899 on the 39th parallel north and the triangulation arc along the 98th meridian west that was near the geographic center of the contiguous United States .		
1.0	It	was chosen	in 1901 because it was a triangulation station at the junction of the trancontinental triangulation arc of 1899 on the 39th parallel north and the triangulation arc along the 98th meridian west			It was chosen in 1901 because it was a triangulation station at the junction of the trancontinental triangulation arc of 1899 on the 39th parallel north and the triangulation arc along the 98th meridian west that was near the geographic center of the contiguous United States .		
1.0	the 98th meridian west	was	near the geographic center of the contiguous United States			It was chosen in 1901 because it was a triangulation station at the junction of the trancontinental triangulation arc of 1899 on the 39th parallel north and the triangulation arc along the 98th meridian west that was near the geographic center of the contiguous United States .		
1.0	the 98th meridian west	was	near the geographic center of the contiguous United States			It was chosen in 1901 because it was a triangulation station at the junction of the trancontinental triangulation arc of 1899 on the 39th parallel north and the triangulation arc along the 98th meridian west that was near the geographic center of the contiguous United States .		
1.0	Gen. Eleazer Wheelock Ripley	an officer in	the War of 1812			It was named for Gen. Eleazer Wheelock Ripley , an officer in the War of 1812 , who was mainly remembered for the Battle of Lundy 's Lane and the Siege of Fort Erie , in 1814 .		
1.0	It	was named	for Gen. Eleazer Wheelock Ripley			It was named for Gen. Eleazer Wheelock Ripley , an officer in the War of 1812 , who was mainly remembered for the Battle of Lundy 's Lane and the Siege of Fort Erie , in 1814 .		
1.0	War of 1812	was mainly remembered	for the Battle of Lundy 's Lane and the Siege of Fort Erie , in 1814			It was named for Gen. Eleazer Wheelock Ripley , an officer in the War of 1812 , who was mainly remembered for the Battle of Lundy 's Lane and the Siege of Fort Erie , in 1814 .		
1.0	mature entrants to the teaching profession	could not afford	to give up work			It was originally aimed at mature entrants to the teaching profession , who could not afford to give up work and undertake a traditional method of teacher training such as the PGCE .		
1.0	It	was originally aimed	originally aimed at mature entrants to the teaching profession			It was originally aimed at mature entrants to the teaching profession , who could not afford to give up work and undertake a traditional method of teacher training such as the PGCE .		
1.0	the teaching profession	could not	to give up work and undertake a traditional method of teacher training such as the PGCE			It was originally aimed at mature entrants to the teaching profession , who could not afford to give up work and undertake a traditional method of teacher training such as the PGCE .		
1.0	the Asian species	was introduced	to East Africa early in the common era			Its cultivation even declined in favour of the Asian species , which was introduced to East Africa early in the common era and spread westward .		
1.0	Its cultivation	even declined	in favour of the Asian species			Its cultivation even declined in favour of the Asian species , which was introduced to East Africa early in the common era and spread westward .		
1.0	the Asian species	spread	westward			Its cultivation even declined in favour of the Asian species , which was introduced to East Africa early in the common era and spread westward .		
1.0	JAL	introduced	jet service on the Fukuoka-Tokyo route in 1961			JAL introduced jet service on the Fukuoka-Tokyo route in 1961 .		
1.0	a US impostor	famously entered	Princeton University			James Arthur Hogue is a US impostor who most famously entered Princeton University by posing as a self-taught orphan .		
1.0	James Arthur Hogue	is	a US impostor who most famously entered Princeton University			James Arthur Hogue is a US impostor who most famously entered Princeton University by posing as a self-taught orphan .		
1.0	a US impostor	entered Princeton University by posing	as a self-taught orphan			James Arthur Hogue is a US impostor who most famously entered Princeton University by posing as a self-taught orphan .		
1.0	and the Yellow Central Power Battery	were detonated	next to the Anti-Monitor			John Stewart and Guy Gardner brought down New Warworld and the Yellow Central Power Battery , which were detonated next to the Anti-Monitor , and contained by a shield created by hundreds of Green Lanterns to contain the explosion ; even this was not enough to kill him .		
1.0	John Stewart and Guy Gardner	brought down	New Warworld and the Yellow Central Power Battery			John Stewart and Guy Gardner brought down New Warworld and the Yellow Central Power Battery , which were detonated next to the Anti-Monitor , and contained by a shield created by hundreds of Green Lanterns to contain the explosion ; even this was not enough to kill him .		
1.0	this	was not	to kill him			John Stewart and Guy Gardner brought down New Warworld and the Yellow Central Power Battery , which were detonated next to the Anti-Monitor , and contained by a shield created by hundreds of Green Lanterns to contain the explosion ; even this was not enough to kill him .		
1.0	shield	created	a shield created by hundreds of Green Lanterns to contain the explosion			John Stewart and Guy Gardner brought down New Warworld and the Yellow Central Power Battery , which were detonated next to the Anti-Monitor , and contained by a shield created by hundreds of Green Lanterns to contain the explosion ; even this was not enough to kill him .		
1.0	Johns	appeared	as an Imperial Officer in the 1980 `` Star Wars sequel			Johns also appeared as an Imperial Officer in the 1980 `` Star Wars sequel '' , `` The Empire Strikes Back '' .		
1.0	The Empire	Strikes	Back			Johns also appeared as an Imperial Officer in the 1980 `` Star Wars sequel '' , `` The Empire Strikes Back '' .		
1.0	Keats 's long and expensive medical training with Hammond and at Guy 's Hospital	led	his family to assume he would pursue a lifelong career in medicine			Keats 's long and expensive medical training with Hammond and at Guy 's Hospital led his family to assume he would pursue a lifelong career in medicine , assuring financial security , and it seems that at this point Keats had a genuine desire to become a doctor .		
1.0	Keibler	asked	then asked for time off to appear on `` Dancing with the Stars			Keibler then asked for time off to appear on `` Dancing with the Stars '' .		
1.0	Kim	graduated	from Ballard High School in Louisville , Kentucky , in 1989 and from Oberlin College in Ohio in 1993			Kim graduated from Ballard High School in Louisville , Kentucky , in 1989 and from Oberlin College in Ohio in 1993 where he double-majored in Government and English and played for the varsity lacrosse team .		
1.0	Kostabi 's other releases	include	Songs For Sumera '' , `` New Alliance '' and `` The Spectre Of Modernism			Kostabi 's other releases include : `` Songs For Sumera '' , `` New Alliance '' and `` The Spectre Of Modernism '' .		
1.0	Langford	kept	Walcott at a distance with his longer reach			Langford kept Walcott at a distance with his longer reach and used his footwork to evade all of Walcott 's attacks .		
1.0	Langford	used	his footwork to evade all of Walcott 's attacks			Langford kept Walcott at a distance with his longer reach and used his footwork to evade all of Walcott 's attacks .		
1.0	the speakers of Language A	abandon	their own language in favor of the other language			Language B then begins to supplant language A : the speakers of Language A abandon their own language in favor of the other language , generally because they believe that it will help them achieve certain goals within government , the workplace , and in social settings .		
1.0	Language B	begins	language A			Language B then begins to supplant language A : the speakers of Language A abandon their own language in favor of the other language , generally because they believe that it will help them achieve certain goals within government , the workplace , and in social settings .		
1.0	Language B	begins	then begins to supplant language A			Language B then begins to supplant language A : the speakers of Language A abandon their own language in favor of the other language , generally because they believe that it will help them achieve certain goals within government , the workplace , and in social settings .		
1.0	Lemmy	believes	that if Will Reid Dick had not been there , they could have worked through the problems , but ended up exchanging a few words and Clarke left the studio			Lemmy believes that if Will Reid Dick had not been there , they could have worked through the problems , but ended up exchanging a few words and Clarke left the studio .		
1.0	Lens subluxation	is also seen	in dogs			Lens subluxation is also seen in dogs and is characterized by a partial displacement of the lens .		
1.0	Lens subluxation	is characterized	by a partial displacement of the lens			Lens subluxation is also seen in dogs and is characterized by a partial displacement of the lens .		
1.0	Li Hongzhi	began	his public teachings of Falun Gong on 13 May 1992 in Changchun			Li Hongzhi began his public teachings of Falun Gong on 13 May 1992 in Changchun , and subsequently gave lectures and taught Falun Gong exercises across China .		
1.0	Li Hongzhi	gave lectures and taught	lectures and taught Falun Gong exercises across China			Li Hongzhi began his public teachings of Falun Gong on 13 May 1992 in Changchun , and subsequently gave lectures and taught Falun Gong exercises across China .		
1.0	it	lampooned	often lampooned the low-budget quality of satellite television available in the UK at the time			Like other BBC content of the mid-1990s , it often lampooned the low-budget quality of satellite television available in the UK at the time .		
1.0	Luke Robert Ravenstahl	is	an American politician who served as the 59th Mayor of Pittsburgh from 2006 until 2014			Luke Robert Ravenstahl is an American politician who served as the 59th Mayor of Pittsburgh from 2006 until 2014 .		
1.0	American	served	as the 59th Mayor of			Luke Robert Ravenstahl is an American politician who served as the 59th Mayor of Pittsburgh from 2006 until 2014 .		
1.0	Males	had	a median income of $ 28,750 versus $ 16,250 for females			Males had a median income of $ 28,750 versus $ 16,250 for females .		
1.0	Males	had	a median income of $ 36,016 versus $ 32,679 for females			Males had a median income of $ 36,016 versus $ 32,679 for females .		
1.0	larger ones	are also excised	for prevention of cancer			Many are surgically removed for aesthetics and relief of psychosocial burden , but larger ones are also excised for prevention of cancer , although the benefit is impossible to assess for any individual patient .		
1.0	Many	are surgically removed	for aesthetics and relief of psychosocial burden			Many are surgically removed for aesthetics and relief of psychosocial burden , but larger ones are also excised for prevention of cancer , although the benefit is impossible to assess for any individual patient .		
1.0	the benefit	is	impossible to assess for any individual patient			Many are surgically removed for aesthetics and relief of psychosocial burden , but larger ones are also excised for prevention of cancer , although the benefit is impossible to assess for any individual patient .		
1.0	Many overseas Chinese whose ancestors	came	from the Quanzhou area			Many overseas Chinese whose ancestors came from the Quanzhou area , especially those in Southeast Asia , often speak mainly Hokkien at home .		
1.0	Many overseas Chinese whose ancestors	speak	often speak mainly Hokkien at home			Many overseas Chinese whose ancestors came from the Quanzhou area , especially those in Southeast Asia , often speak mainly Hokkien at home .		
1.0	the Mason City Division	continued	Meanwhile , the Mason City Division continued to operate as usual			Meanwhile , the Mason City Division continued to operate as usual .		
1.0	Models	taking	into account the size and room number of the barrack blocks in the Gorgan Wall forts and likely occupation density			Models , taking into account the size and room number of the barrack blocks in the Gorgan Wall forts and likely occupation density , produce figures between 15,000 and 36,000 soldiers .		
1.0	Models , taking into account the size and room number of the barrack blocks in the Gorgan Wall forts and likely occupation	produce	figures between 15,000 and 36,000 soldiers			Models , taking into account the size and room number of the barrack blocks in the Gorgan Wall forts and likely occupation density , produce figures between 15,000 and 36,000 soldiers .		
1.0	the country	embarked	on a development scheme and plans for modernization			Modern educational methods were more widely spread throughout the Empire , and the country embarked on a development scheme and plans for modernization , tempered by Ethiopian traditions , and within the framework of the ancient monarchical structure of the state .		
1.0	Modern educational methods	were more widely spread	throughout the Empire			Modern educational methods were more widely spread throughout the Empire , and the country embarked on a development scheme and plans for modernization , tempered by Ethiopian traditions , and within the framework of the ancient monarchical structure of the state .		
1.0	the country	embarked	on a development scheme and plans for modernization , tempered by Ethiopian traditions , and within the framework of the ancient monarchical structure of the state			Modern educational methods were more widely spread throughout the Empire , and the country embarked on a development scheme and plans for modernization , tempered by Ethiopian traditions , and within the framework of the ancient monarchical structure of the state .		
1.0	Modification of the river	began	in earnest with the arrival of the Florida East Coast Railway in Miami in 1896			Modification of the river began in earnest with the arrival of the Florida East Coast Railway in Miami in 1896 .		
1.0	Moore	dropped	briefly dropped Marciano in the second round			Moore briefly dropped Marciano in the second round , but Marciano recovered and knocked Moore down five times , knocking him out in the ninth to retain the belt .		
1.0	Moore	knocked Moore down five times , knocking him out	him out in the ninth to retain the belt			Moore briefly dropped Marciano in the second round , but Marciano recovered and knocked Moore down five times , knocking him out in the ninth to retain the belt .		
1.0	Much of the station	remains	in the disused subway			Much of the station remains in the disused subway but there is no public access .		
1.0	no	there is	public access			Much of the station remains in the disused subway but there is no public access .		
1.0	a pious Muslim	supported	the Imam of his time			Muhammad ibn Abu Bakr was a pious Muslim who supported the Imam of his time , Ali ibn Abi Talib , even though his sister Aisha opposed ` Ali in the battle of Jamal , Ibn Abu Bakr was faithful to his stepfather .		
1.0	Muhammad ibn Abu Bakr	was	a pious Muslim who supported the Imam of his time			Muhammad ibn Abu Bakr was a pious Muslim who supported the Imam of his time , Ali ibn Abi Talib , even though his sister Aisha opposed ` Ali in the battle of Jamal , Ibn Abu Bakr was faithful to his stepfather .		
1.0	ibn Abu Bakr	was	faithful to his stepfather			Muhammad ibn Abu Bakr was a pious Muslim who supported the Imam of his time , Ali ibn Abi Talib , even though his sister Aisha opposed ` Ali in the battle of Jamal , Ibn Abu Bakr was faithful to his stepfather .		
