confidence	arg1	rel	arg2	enabler	attribution	text	pattern	dependencies
1.0	Boston College	left	the Big East Conference			In athletics , Boston College left the Big East Conference and joined the Atlantic Coast Conference on July 1 , 2005 .		
1.0	Boston College	joined	the Atlantic Coast Conference on July 1 , 2005			In athletics , Boston College left the Big East Conference and joined the Atlantic Coast Conference on July 1 , 2005 .		
1.0	this specialized function	replaces	In both cases this specialized function replaces the basic rifleman position in the fireteam			In both cases this specialized function replaces the basic rifleman position in the fireteam .		
1.0		passed	the ransom money to in St. Raymond 's Cemetery			In fact , Condon , after seeing Hauptmann in a lineup at New York Police Department Greenwich Street Station told FBI Special Agent Turrou that Hauptmann was not `` John , '' the man to whom Condon claimed he passed the ransom money to in St. Raymond 's Cemetery .		
1.0	Condon	seeing	Hauptmann in a lineup at New York Police Department Greenwich Street Station			In fact , Condon , after seeing Hauptmann in a lineup at New York Police Department Greenwich Street Station told FBI Special Agent Turrou that Hauptmann was not `` John , '' the man to whom Condon claimed he passed the ransom money to in St. Raymond 's Cemetery .		
1.0	Condon	told	after seeing Hauptmann in a lineup at New York Police Department Greenwich Street Station told FBI Special Agent Turrou that Hauptmann was not `` John , '' the man to whom Condon claimed he passed the ransom money to in St. Raymond 's Cemetery			In fact , Condon , after seeing Hauptmann in a lineup at New York Police Department Greenwich Street Station told FBI Special Agent Turrou that Hauptmann was not `` John , '' the man to whom Condon claimed he passed the ransom money to in St. Raymond 's Cemetery .		
1.0	the man to whom Condon	claimed	he passed the ransom money to in St. Raymond 's Cemetery			In fact , Condon , after seeing Hauptmann in a lineup at New York Police Department Greenwich Street Station told FBI Special Agent Turrou that Hauptmann was not `` John , '' the man to whom Condon claimed he passed the ransom money to in St. Raymond 's Cemetery .		
1.0	RCPO	concluded	In its first six months , RCPO concluded 858 cases convictions in 88 % of cases			In its first six months , RCPO concluded 858 cases convictions in 88 % of cases .		
1.0	a subfamily of the Glyphipterigidae family	treated	modern			In modern classifications , it is often treated as a subfamily of the Glyphipterigidae family .		
1.0	this policy	relaxed	In more recent years , this policy has apparently relaxed somewhat			In more recent years , this policy has apparently relaxed somewhat .		
1.0	UTA	ordered	In order to support planned TRAX expansion , UTA ordered 77 Siemens S70 light rail vehicles from Siemens AG			In order to support planned TRAX expansion , UTA ordered 77 Siemens S70 light rail vehicles from Siemens AG .		
1.0	a considerable number	went	entirely extinct after settlement by Europeans			In particular , Cyprinidae of southwestern North America have been severely affected ; a considerable number went entirely extinct after settlement by Europeans .		
1.0	the Oppositionists under George Leake	able to form	to form a minority government			In the 1901 election , after which the Oppositionists under George Leake were able to form a minority government , Frank Wilson , formerly the member for Canning , won the seat .		
1.0	Frank Wilson	won	In the 1901 election , after which the Oppositionists under George Leake were able to form a minority government , Frank Wilson , formerly the member for Canning , won the seat			In the 1901 election , after which the Oppositionists under George Leake were able to form a minority government , Frank Wilson , formerly the member for Canning , won the seat .		
1.0	most of Kabul 's economy	depended	In the 1960s and 70s most of Kabul 's economy depended on tourism			In the 1960s and 70s most of Kabul 's economy depended on tourism .		
1.0	Johns	took	In the 1986 television series `` War and Remembrance '' , Johns took the role of the senior Nazi SS officer Adolf Eichmann			In the 1986 television series `` War and Remembrance '' , Johns took the role of the senior Nazi SS officer Adolf Eichmann .		
1.0	Civil War , he advocated strong prosecution of the Union War effort , the end of slavery , and civil rights for freed African Americans	prosecution of the Union War effort , the end of slavery , and civil rights for freed	In the Civil War , he advocated strong prosecution of the Union War effort , the end of slavery , and civil rights for			In the Civil War , he advocated strong prosecution of the Union War effort , the end of slavery , and civil rights for freed African Americans .		
1.0	the 5th Dragoon Guards	formed	In the Crimean War , the 5th Dragoon Guards formed part of the Heavy Cavalry Brigade			In the Crimean War , the 5th Dragoon Guards formed part of the Heavy Cavalry Brigade and was sent to the Black Sea in 1854 .		
1.0	the 5th Dragoon Guards	sent	to the Black Sea in 1854			In the Crimean War , the 5th Dragoon Guards formed part of the Heavy Cavalry Brigade and was sent to the Black Sea in 1854 .		
1.0	the Welsh Methodists	broke	In the early 19th century the Welsh Methodists broke away from the Anglican church			In the early 19th century the Welsh Methodists broke away from the Anglican church and established their own denomination , now the Presbyterian Church of Wales .		
1.0	the Welsh Methodists	established	In the early 19th century the Welsh Methodists broke away from the Anglican church and established their own denomination , now the Presbyterian Church of Wales			In the early 19th century the Welsh Methodists broke away from the Anglican church and established their own denomination , now the Presbyterian Church of Wales .		
1.0	inhabitants	speak	In the north and east inhabitants speak Bumthangkha			In the north and east inhabitants speak Bumthangkha , and in the extreme southeast Khengkha is spoken .		
1.0	Khengkha	spoken	in the extreme southeast			In the north and east inhabitants speak Bumthangkha , and in the extreme southeast Khengkha is spoken .		
1.0	Knievel	scheduled	In the winter of 1976 , Knievel was scheduled for a major jump in Chicago , Illinois			In the winter of 1976 , Knievel was scheduled for a major jump in Chicago , Illinois .		
1.0	God	dwelling	a dwelling place in the lower realms			In this explanation the purpose of Creation is that `` God desired a dwelling place in the lower realms '' - it is man who transforms the mundane , lowest World into an abode for God 's essence .		
1.0	God	desired	a dwelling place in the lower realms '' - it is man who transforms the mundane , lowest World into an abode for God 's			In this explanation the purpose of Creation is that `` God desired a dwelling place in the lower realms '' - it is man who transforms the mundane , lowest World into an abode for God 's essence .		
1.0	he	collaborate	In those years , he began to collaborate with some newspapers			In those years , he began to collaborate with some newspapers .		
1.0	the squadron	transitioned	the A-4L Skyhawk			Initially flying the A-4B Skyhawk , the squadron later transitioned to the A-4L Skyhawk .		
1.0	the squadron	flying	the A-4B Skyhawk			Initially flying the A-4B Skyhawk , the squadron later transitioned to the A-4L Skyhawk .		
1.0	his chances	thought	Initially his chances of surviving were thought to be no better than 50-50			Initially his chances of surviving were thought to be no better than 50-50 .		
1.0	tail	uses	communicate by making drumming noises			It has long hind legs and a long , slender , scaly tail that it uses to communicate by making drumming noises .		
1.0	the dialect	spoken	in Xiamen			It is essentially the same as the dialect spoken in Xiamen , and is unintelligible with Standard Chinese .		
1.0	Surrey	situated	on the Green Sand Way			It is part of the Surrey Hills Area of Outstanding Beauty and situated on the Green Sand Way .		
1.0	Gen. Eleazer Wheelock Ripley , an officer in the War of 1812	remembered	for the Battle of Lundy 's Lane and the Siege of Fort Erie , in 1814			It was named for Gen. Eleazer Wheelock Ripley , an officer in the War of 1812 , who was mainly remembered for the Battle of Lundy 's Lane and the Siege of Fort Erie , in 1814 .		
1.0	mature entrants to the teaching profession	afford	give up work			It was originally aimed at mature entrants to the teaching profession , who could not afford to give up work and undertake a traditional method of teacher training such as the PGCE .		
1.0	mature entrants to the teaching profession	afford	to give up work			It was originally aimed at mature entrants to the teaching profession , who could not afford to give up work and undertake a traditional method of teacher training such as the PGCE .		
1.0	mature entrants to the teaching profession , who could not	undertake	and undertake a traditional method of teacher training such as the PGCE			It was originally aimed at mature entrants to the teaching profession , who could not afford to give up work and undertake a traditional method of teacher training such as the PGCE .		
1.0	the Asian species	introduced	to East Africa early in the common era			Its cultivation even declined in favour of the Asian species , which was introduced to East Africa early in the common era and spread westward .		
1.0	Its cultivation	declined	in favour of the Asian species , which was introduced to East Africa early in the common era			Its cultivation even declined in favour of the Asian species , which was introduced to East Africa early in the common era and spread westward .		
1.0	the Asian species	spread	westward			Its cultivation even declined in favour of the Asian species , which was introduced to East Africa early in the common era and spread westward .		
1.0	JAL	introduced	jet service on the Fukuoka-Tokyo route in 1961			JAL introduced jet service on the Fukuoka-Tokyo route in 1961 .		
1.0	James Arthur Hogue	entered	Princeton University by posing as a self-taught orphan			James Arthur Hogue is a US impostor who most famously entered Princeton University by posing as a self-taught orphan .		
1.0	James Arthur Hogue	posing	Princeton University by posing as a self-taught orphan			James Arthur Hogue is a US impostor who most famously entered Princeton University by posing as a self-taught orphan .		
1.0	a shield	created	hundreds of Green Lanterns to contain the explosion			John Stewart and Guy Gardner brought down New Warworld and the Yellow Central Power Battery , which were detonated next to the Anti-Monitor , and contained by a shield created by hundreds of Green Lanterns to contain the explosion ; even this was not enough to kill him .		
1.0	a shield created by hundreds of Green Lanterns	created by hundreds of Green Lanterns to contain	hundreds of Green Lanterns to contain the explosion			John Stewart and Guy Gardner brought down New Warworld and the Yellow Central Power Battery , which were detonated next to the Anti-Monitor , and contained by a shield created by hundreds of Green Lanterns to contain the explosion ; even this was not enough to kill him .		
1.0	Yellow Central Power Battery	detonated	next to the Anti-Monitor			John Stewart and Guy Gardner brought down New Warworld and the Yellow Central Power Battery , which were detonated next to the Anti-Monitor , and contained by a shield created by hundreds of Green Lanterns to contain the explosion ; even this was not enough to kill him .		
1.0	John Stewart and Guy Gardner	brought	New Warworld and the Yellow Central Power Battery			John Stewart and Guy Gardner brought down New Warworld and the Yellow Central Power Battery , which were detonated next to the Anti-Monitor , and contained by a shield created by hundreds of Green Lanterns to contain the explosion ; even this was not enough to kill him .		
1.0	Yellow Central Power Battery	contained	by a shield created by hundreds of Green Lanterns to contain the explosion			John Stewart and Guy Gardner brought down New Warworld and the Yellow Central Power Battery , which were detonated next to the Anti-Monitor , and contained by a shield created by hundreds of Green Lanterns to contain the explosion ; even this was not enough to kill him .		
1.0	Johns	appeared	as an Imperial Officer in the 1980 `` Star Wars sequel '' , `` The Empire Strikes Back			Johns also appeared as an Imperial Officer in the 1980 `` Star Wars sequel '' , `` The Empire Strikes Back '' .		
1.0	Keats	become	a doctor			Keats 's long and expensive medical training with Hammond and at Guy 's Hospital led his family to assume he would pursue a lifelong career in medicine , assuring financial security , and it seems that at this point Keats had a genuine desire to become a doctor .		
1.0	Keats 's long and expensive medical training with Hammond and at Guy 's Hospital led his family	pursue	a lifelong career in medicine , assuring financial security			Keats 's long and expensive medical training with Hammond and at Guy 's Hospital led his family to assume he would pursue a lifelong career in medicine , assuring financial security , and it seems that at this point Keats had a genuine desire to become a doctor .		
1.0	Keats 's long and expensive medical training with Hammond and at Guy 's Hospital led his family	assume	Hammond and at Guy 's Hospital led his family to assume he would pursue a lifelong career in medicine , assuring financial security			Keats 's long and expensive medical training with Hammond and at Guy 's Hospital led his family to assume he would pursue a lifelong career in medicine , assuring financial security , and it seems that at this point Keats had a genuine desire to become a doctor .		
1.0	Keats 's long and expensive medical training with Hammond and at Guy 's Hospital	led	his family to assume he would pursue a lifelong career in medicine			Keats 's long and expensive medical training with Hammond and at Guy 's Hospital led his family to assume he would pursue a lifelong career in medicine , assuring financial security , and it seems that at this point Keats had a genuine desire to become a doctor .		
1.0	Keibler	asked	time off to appear on `` Dancing with the Stars			Keibler then asked for time off to appear on `` Dancing with the Stars '' .		
1.0	Keibler	appear	on `` Dancing with the Stars			Keibler then asked for time off to appear on `` Dancing with the Stars '' .		
1.0	Kim	double-majored	and from Oberlin College in Ohio in 1993 where he double-majored in Government and English			Kim graduated from Ballard High School in Louisville , Kentucky , in 1989 and from Oberlin College in Ohio in 1993 where he double-majored in Government and English and played for the varsity lacrosse team .		
1.0	Kim	graduated	from Ballard High School in Louisville , Kentucky , in 1989 and from Oberlin College in Ohio in 1993			Kim graduated from Ballard High School in Louisville , Kentucky , in 1989 and from Oberlin College in Ohio in 1993 where he double-majored in Government and English and played for the varsity lacrosse team .		
1.0	Kim	played	in Ohio in 1993 where he double-majored in Government and English and played for the varsity lacrosse team			Kim graduated from Ballard High School in Louisville , Kentucky , in 1989 and from Oberlin College in Ohio in 1993 where he double-majored in Government and English and played for the varsity lacrosse team .		
1.0	Kostabi 's other releases	include	`` Songs For Sumera '' , `` New Alliance '' and `` The Spectre Of Modernism			Kostabi 's other releases include : `` Songs For Sumera '' , `` New Alliance '' and `` The Spectre Of Modernism '' .		
1.0	Langford	evade	footwork to evade all of Walcott 's attacks			Langford kept Walcott at a distance with his longer reach and used his footwork to evade all of Walcott 's attacks .		
1.0	Langford	kept	Walcott at a distance with his longer reach			Langford kept Walcott at a distance with his longer reach and used his footwork to evade all of Walcott 's attacks .		
1.0	Langford	used	his footwork to evade all of Walcott 's attacks			Langford kept Walcott at a distance with his longer reach and used his footwork to evade all of Walcott 's attacks .		
1.0	the speakers of Language A	believe	that it will help them achieve certain goals within government , the workplace , and in social settings			Language B then begins to supplant language A : the speakers of Language A abandon their own language in favor of the other language , generally because they believe that it will help them achieve certain goals within government , the workplace , and in social settings .		
1.0	Language B	supplant	language A			Language B then begins to supplant language A : the speakers of Language A abandon their own language in favor of the other language , generally because they believe that it will help them achieve certain goals within government , the workplace , and in social settings .		
1.0	Language B	begins	to supplant language A			Language B then begins to supplant language A : the speakers of Language A abandon their own language in favor of the other language , generally because they believe that it will help them achieve certain goals within government , the workplace , and in social settings .		
1.0	the speakers of Language A	abandon	their own language in favor of the other language , generally because they believe that it will help them achieve certain goals within government , the workplace , and in social settings			Language B then begins to supplant language A : the speakers of Language A abandon their own language in favor of the other language , generally because they believe that it will help them achieve certain goals within government , the workplace , and in social settings .		
1.0	Clarke	exchanging a few words and Clarke left	a few words and Clarke left the studio			Lemmy believes that if Will Reid Dick had not been there , they could have worked through the problems , but ended up exchanging a few words and Clarke left the studio .		
1.0	Will Reid Dick	worked	not been there , they could have worked through the problems			Lemmy believes that if Will Reid Dick had not been there , they could have worked through the problems , but ended up exchanging a few words and Clarke left the studio .		
1.0	Lemmy	believes	that if Will Reid Dick had not been there , they could have worked through the problems , but ended up exchanging a few words and Clarke left the studio			Lemmy believes that if Will Reid Dick had not been there , they could have worked through the problems , but ended up exchanging a few words and Clarke left the studio .		
1.0	Lens subluxation	seen	in dogs			Lens subluxation is also seen in dogs and is characterized by a partial displacement of the lens .		
1.0	Lens subluxation	characterized	by a partial displacement of the lens			Lens subluxation is also seen in dogs and is characterized by a partial displacement of the lens .		
1.0	Li Hongzhi	taught	Falun Gong exercises across China			Li Hongzhi began his public teachings of Falun Gong on 13 May 1992 in Changchun , and subsequently gave lectures and taught Falun Gong exercises across China .		
1.0	Li Hongzhi	began	his public teachings of Falun Gong on 13 May 1992 in Changchun			Li Hongzhi began his public teachings of Falun Gong on 13 May 1992 in Changchun , and subsequently gave lectures and taught Falun Gong exercises across China .		
1.0	Li Hongzhi	gave lectures and taught	May 1992 in Changchun , and subsequently gave lectures and taught Falun Gong exercises across China			Li Hongzhi began his public teachings of Falun Gong on 13 May 1992 in Changchun , and subsequently gave lectures and taught Falun Gong exercises across China .		
1.0	Luke Robert Ravenstahl	served	as the 59th Mayor of Pittsburgh from 2006 until 2014			Luke Robert Ravenstahl is an American politician who served as the 59th Mayor of Pittsburgh from 2006 until 2014 .		
1.0	Many	removed	surgically removed for aesthetics and relief of psychosocial burden			Many are surgically removed for aesthetics and relief of psychosocial burden , but larger ones are also excised for prevention of cancer , although the benefit is impossible to assess for any individual patient .		
1.0	larger	excised	for prevention of cancer			Many are surgically removed for aesthetics and relief of psychosocial burden , but larger ones are also excised for prevention of cancer , although the benefit is impossible to assess for any individual patient .		
1.0	Many overseas Chinese whose ancestors	speak	mainly Hokkien at home			Many overseas Chinese whose ancestors came from the Quanzhou area , especially those in Southeast Asia , often speak mainly Hokkien at home .		
1.0	Many overseas Chinese whose ancestors	came	from the Quanzhou area , especially those in Southeast Asia			Many overseas Chinese whose ancestors came from the Quanzhou area , especially those in Southeast Asia , often speak mainly Hokkien at home .		
1.0	the Mason City Division	continued	to operate as usual			Meanwhile , the Mason City Division continued to operate as usual .		
1.0	the Mason City Division	operate	as usual			Meanwhile , the Mason City Division continued to operate as usual .		
1.0	Models	produce	taking into account the size and room number of the barrack blocks in the Gorgan Wall forts and likely occupation density , produce figures between 15,000 and 36,000 soldiers			Models , taking into account the size and room number of the barrack blocks in the Gorgan Wall forts and likely occupation density , produce figures between 15,000 and 36,000 soldiers .		
1.0	Models	taking	account the size and room number of the barrack blocks in the Gorgan Wall forts and likely occupation density			Models , taking into account the size and room number of the barrack blocks in the Gorgan Wall forts and likely occupation density , produce figures between 15,000 and 36,000 soldiers .		
1.0	the country	tempered	a development scheme and plans for modernization			Modern educational methods were more widely spread throughout the Empire , and the country embarked on a development scheme and plans for modernization , tempered by Ethiopian traditions , and within the framework of the ancient monarchical structure of the state .		
1.0	Modern educational methods	spread	more widely spread throughout the Empire			Modern educational methods were more widely spread throughout the Empire , and the country embarked on a development scheme and plans for modernization , tempered by Ethiopian traditions , and within the framework of the ancient monarchical structure of the state .		
1.0	the country	embarked	a development scheme and plans for modernization			Modern educational methods were more widely spread throughout the Empire , and the country embarked on a development scheme and plans for modernization , tempered by Ethiopian traditions , and within the framework of the ancient monarchical structure of the state .		
1.0	Modernity	blended	without sacrificing on the traditional Buddhist ethos			Modernity has been blended without sacrificing on the traditional Buddhist ethos .		
1.0	Modification of the river	began	in earnest with the arrival of the Florida East Coast Railway in Miami in 1896			Modification of the river began in earnest with the arrival of the Florida East Coast Railway in Miami in 1896 .		
1.0	Moore briefly dropped Marciano in the second round , but Marciano	knocking him out in the ninth to retain	Moore down five times , knocking him out in the ninth to retain the belt			Moore briefly dropped Marciano in the second round , but Marciano recovered and knocked Moore down five times , knocking him out in the ninth to retain the belt .		
1.0	Moore	dropped	briefly dropped Marciano in the second round			Moore briefly dropped Marciano in the second round , but Marciano recovered and knocked Moore down five times , knocking him out in the ninth to retain the belt .		
1.0	Marciano	knocked	in the second round , but Marciano recovered and knocked Moore down five times , knocking him out in the ninth to retain the belt			Moore briefly dropped Marciano in the second round , but Marciano recovered and knocked Moore down five times , knocking him out in the ninth to retain the belt .		
1.0	Much of the station	remains	in the disused subway			Much of the station remains in the disused subway but there is no public access .		
1.0	Muhammad ibn Abu Bakr	supported	the Imam of his time , Ali ibn Abi Talib			Muhammad ibn Abu Bakr was a pious Muslim who supported the Imam of his time , Ali ibn Abi Talib , even though his sister Aisha opposed ` Ali in the battle of Jamal , Ibn Abu Bakr was faithful to his stepfather .		
1.0	Names like John Berks , Gary Edwards , Frank Sanders , Robin Alexander , Darryl Jooste , George Wayne and David Gresham	started	out at LM Radio			Names like John Berks , Gary Edwards , Frank Sanders , Robin Alexander , Darryl Jooste , George Wayne and David Gresham all started out at LM Radio before moving to other stations such as Swazi Music Radio , Radio 702 , Springbok Radio and other SABC stations , 2JJ and Capital 604 .		
1.0	Names like John Berks , Gary Edwards , Frank Sanders , Robin Alexander , Darryl Jooste , George Wayne and David Gresham	moving	to other stations such as Swazi Music Radio , Radio 702 , Springbok Radio and other SABC stations , 2JJ and Capital 604			Names like John Berks , Gary Edwards , Frank Sanders , Robin Alexander , Darryl Jooste , George Wayne and David Gresham all started out at LM Radio before moving to other stations such as Swazi Music Radio , Radio 702 , Springbok Radio and other SABC stations , 2JJ and Capital 604 .		
1.0	Newhan	split	the season between Triple-A Round Rock , where he hit .308			Newhan split the season between Triple-A Round Rock , where he hit .308 .		
1.0	the race	left	Next morning , the race left the city on the way to the Pyrenees			Next morning , the race left the city on the way to the Pyrenees and stopped in the suburb of Gradignan , in the university area of La House .		
1.0	the race	stopped	Next morning , the race left the city on the way to the Pyrenees and stopped in the suburb of Gradignan , in the university area of La House			Next morning , the race left the city on the way to the Pyrenees and stopped in the suburb of Gradignan , in the university area of La House .		
1.0	No announcement from UTV	made	about the decision to close the station earlier than planned			No announcement from UTV was made about the decision to close the station earlier than planned .		
1.0	Noatak	has	a gravel public airstrip			Noatak has a gravel public airstrip and is primarily reached by air .		
1.0	Noatak has a gravel public airstrip	reached	primarily reached by air			Noatak has a gravel public airstrip and is primarily reached by air .		
1.0	Vakama	track	the Matoran			Not everyone completely trusted Vakama 's vision - Matau was particularly frustrated at following what he considered the delusions of a `` fire-spitter '' - but with nothing else to go on they decided to track the Matoran down .		
1.0	Vakama 's vision - Matau	following what he considered	what he considered the delusions of a `` fire-spitter			Not everyone completely trusted Vakama 's vision - Matau was particularly frustrated at following what he considered the delusions of a `` fire-spitter '' - but with nothing else to go on they decided to track the Matoran down .		
1.0	Matau	frustrated	following what he considered the delusions of a `` fire-spitter			Not everyone completely trusted Vakama 's vision - Matau was particularly frustrated at following what he considered the delusions of a `` fire-spitter '' - but with nothing else to go on they decided to track the Matoran down .		
1.0	Vakama	trusted	vision - Matau was particularly frustrated at following what he considered the delusions of a `` fire-spitter			Not everyone completely trusted Vakama 's vision - Matau was particularly frustrated at following what he considered the delusions of a `` fire-spitter '' - but with nothing else to go on they decided to track the Matoran down .		
1.0	Catholicism	leaving for the Continent , and was converted	for the Continent , and was converted to Catholicism in Spain			Nothing is known for certain about his life before about 1580 , but contemporary or near-contemporary accounts suggest that he was brought up as a member of the Church of Scotland , spent some time in Argyll before leaving for the Continent , and was converted to Catholicism in Spain .		
1.0	contemporary or near-contemporary	brought	as a member of the Church of Scotland , spent some time in Argyll			Nothing is known for certain about his life before about 1580 , but contemporary or near-contemporary accounts suggest that he was brought up as a member of the Church of Scotland , spent some time in Argyll before leaving for the Continent , and was converted to Catholicism in Spain .		
1.0	the epilogue was not an afterthought	supplied	too late for the English edition			Obviously the epilogue was not an afterthought supplied too late for the English edition , for it is referred to in `` The Castaway '' : `` in the sequel of the narrative , it will then be seen what like abandonment befell myself . ''		
1.0	like abandonment	seen what like abandonment befell				Obviously the epilogue was not an afterthought supplied too late for the English edition , for it is referred to in `` The Castaway '' : `` in the sequel of the narrative , it will then be seen what like abandonment befell myself . ''		
1.0	1 individual	belonged	population , there was 1 individual who belonged to the Christian Catholic faith			Of the rest of the population , there was 1 individual who belonged to the Christian Catholic faith .		
1.0	British double agent `` Garbo	requested	On 16 June 1944 , British double agent `` Garbo '' was requested by his German controllers to give information on the sites and times of V-1 impacts			On 16 June 1944 , British double agent `` Garbo '' was requested by his German controllers to give information on the sites and times of V-1 impacts , with similar requests made to the other German agents in Britain , `` Brutus '' and `` Tate '' .		
1.0	similar requests made to the other German agents in Britain , `` Brutus '' and	made	On 16 June 1944 , British double agent `` Garbo '' was requested by his German controllers to give information on the sites and times of V-1 impacts , with similar requests made to the other German agents in Britain , `` Brutus '' and `` Tate			On 16 June 1944 , British double agent `` Garbo '' was requested by his German controllers to give information on the sites and times of V-1 impacts , with similar requests made to the other German agents in Britain , `` Brutus '' and `` Tate '' .		
1.0	Yost	named	On May 13 , 2010 , Yost was named manager of the Kansas City Royals , replacing Trey Hillman			On May 13 , 2010 , Yost was named manager of the Kansas City Royals , replacing Trey Hillman .		
1.0		replacing	On May 13 , 2010			On May 13 , 2010 , Yost was named manager of the Kansas City Royals , replacing Trey Hillman .		
1.0	Opie & Anthony for 30 days , in response to a broadcast featuring a homeless man	wandered	May 15 , 2007 , XM suspended Opie & Anthony for 30 days , in response to a broadcast featuring a homeless man who wandered into the studio			On May 15 , 2007 , XM suspended Opie & Anthony for 30 days , in response to a broadcast featuring a homeless man who wandered into the studio .		
1.0	XM	suspended	On May 15 , 2007 , XM suspended Opie & Anthony for 30 days , in response to a broadcast featuring a homeless man who wandered into the studio			On May 15 , 2007 , XM suspended Opie & Anthony for 30 days , in response to a broadcast featuring a homeless man who wandered into the studio .		
1.0	Opie & Anthony for 30 days , in response to a broadcast	featuring	On May 15 , 2007 , XM suspended Opie & Anthony for 30 days , in response to a broadcast featuring a homeless man who wandered into the studio			On May 15 , 2007 , XM suspended Opie & Anthony for 30 days , in response to a broadcast featuring a homeless man who wandered into the studio .		
1.0	Brown	ended	On November 2 , 2005 , Brown ended his contract early			On November 2 , 2005 , Brown ended his contract early and left the federal government .		
1.0	Brown	left	On November 2 , 2005 , Brown ended his contract early and left the federal government			On November 2 , 2005 , Brown ended his contract early and left the federal government .		
1.0	, the fifth song from Pink Floyd 's 1973 album `` The Dark Side Of The Moon	contains	a reprise of `` Breathe '' , the first song of the same album			One example could be `` Time '' , the fifth song from Pink Floyd 's 1973 album `` The Dark Side Of The Moon '' , which contains a reprise of `` Breathe '' , the first song of the same album .		
1.0	Sergeant Jericho and the other officers , along with the two train operators	try to finish	the fight			Only Ballard and Williams are left after Sergeant Jericho and the other officers , along with the two train operators , are killed when they try to finish the fight .		
1.0	Sergeant Jericho and the other officers , along with the two train operators	killed	they try to finish the fight			Only Ballard and Williams are left after Sergeant Jericho and the other officers , along with the two train operators , are killed when they try to finish the fight .		
1.0	Cotton Mather	called	sewer of New England			Opponents of religious freedom sometimes referred to it as `` Rogue 's Island '' , and Cotton Mather called it `` the sewer of New England . ''		
1.0	Hank McCoy	retains	Originally , Hank McCoy retains the basic features of a normal human alongside a generally simian physiology equivalent to that of a Great Ape			Originally , Hank McCoy retains the basic features of a normal human alongside a generally simian physiology equivalent to that of a Great Ape .		
1.0	Other signs of lens subluxation	include	mild conjunctival redness , vitreous humour degeneration , prolapse of the vitreous into the anterior chamber , and an increase or decrease of anterior chamber depth			Other signs of lens subluxation include mild conjunctival redness , vitreous humour degeneration , prolapse of the vitreous into the anterior chamber , and an increase or decrease of anterior chamber depth .		
1.0	Pakistan Chrome Mines Ltd	incorporated	in the Islamic Republic of Pakistan			Pakistan Chrome Mines Ltd. is a mining company incorporated in the Islamic Republic of Pakistan .		
1.0	expenditure of resources	benefit	one offspring			Parental investment is any expenditure of resources to benefit one offspring .		
1.0	Piffaro	performs	a concert series of four to five concerts a year in Philadelphia			Piffaro generally performs a concert series of four to five concerts a year in Philadelphia , in addition to touring throughout the United States , Canada , Europe and elsewhere .		
1.0	Piffaro	touring	throughout the United States , Canada , Europe and elsewhere			Piffaro generally performs a concert series of four to five concerts a year in Philadelphia , in addition to touring throughout the United States , Canada , Europe and elsewhere .		
1.0	Plants	planted	marking parts of the foundations of the castle			Plants have been planted marking parts of the foundations of the castle , so the positions of some of the buildings can still be inferred .		
1.0	the Royals	signed	Prior to the 2012 season , the Royals signed Yost to a contract extension through the 2013 season			Prior to the 2012 season , the Royals signed Yost to a contract extension through the 2013 season .		
1.0	the Player	call	one of four available `` hot routes			Prior to the Playmaker tool , the Player could only call one of four available `` hot routes . ''		
1.0	Proliferative nodules	found	regularly but not systematically found to be benign			Proliferative nodules are usually biopsied and are regularly but not systematically found to be benign .		
1.0	RedHat engineers	identified	problems with ProPolice though			RedHat engineers identified problems with ProPolice though , and in 2005 re-implemented stack-smashing protection for inclusion in GCC 4.1 .		
1.0	RedHat engineers	re-implemented	in 2005 re-implemented stack-smashing protection for inclusion in GCC 4.1			RedHat engineers identified problems with ProPolice though , and in 2005 re-implemented stack-smashing protection for inclusion in GCC 4.1 .		
1.0	Reptiles identified during surveys	include	marbled geckos on both island groups			Reptiles identified during surveys include marbled geckos on both island groups while the following are limited to the main island in the Northern group - four-toed earless skink , bull skinks and western brown snakes .		
1.0	Reptiles	identified	during surveys			Reptiles identified during surveys include marbled geckos on both island groups while the following are limited to the main island in the Northern group - four-toed earless skink , bull skinks and western brown snakes .		
1.0	Results like these	indicate	acoustic mimicry complexes , both Batesian and Mullerian , may be widespread in the auditory world			Results like these indicate acoustic mimicry complexes , both Batesian and Mullerian , may be widespread in the auditory world .		
1.0	her superiors	believe	report			Returning home , Ballard delivers her report , which her superiors refuse to believe .		
1.0	Ballard	Returning	home			Returning home , Ballard delivers her report , which her superiors refuse to believe .		
1.0	Ballard	delivers	Returning home , Ballard delivers her report			Returning home , Ballard delivers her report , which her superiors refuse to believe .		
1.0	her superiors	refuse	her report , which her superiors refuse to believe			Returning home , Ballard delivers her report , which her superiors refuse to believe .		
1.0	Robert Charles `` Jack '' Russell , MBE	known	for his abilities as an artist , as a cricket wicketkeeping coach , and a football goalkeeping coach			Robert Charles `` Jack '' Russell , MBE , is a retired English international cricketer , now known for his abilities as an artist , as a cricket wicketkeeping coach , and a football goalkeeping coach .		
1.0	Congress 's power to regulate interstate commerce ... extended to include any activities	include any activities that might affect	that might affect commerce indirectly '' during the New Deal			Rosen argues that one of the most important provisions of the Constitution in Exile is limitations on the interstate commerce clause , which were undermined by the Supreme Court 's `` expansive interpretation of Congress 's power to regulate interstate commerce ... extended to include any activities that might affect commerce indirectly '' during the New Deal .		
